Distancia_m,Angulo,Elevacion_m,Caudal_Invierno,Caudal_Primavera,Caudal_Verano,Caudal_Otono,Q_medio
1460,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1470,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1480,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1490,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1500,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1510,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1520,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1530,206.565051176788,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1540,270.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1550,270.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1560,270.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1570,270.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1580,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1590,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1600,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1610,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1620,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1630,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1640,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1650,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1660,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1670,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1680,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1690,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1700,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1710,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1720,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1730,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1740,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1750,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1760,225.000000000045,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1770,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1780,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1790,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1800,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
